Circuit: * C:\Users\wesle\Desktop\projetos\joule_thief\joule_thief_V2.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.00689836 ++++++++++++++++++++++++to 0.00689836
Heightened Def Con from 0.00689836 ++++++++++++++++++++++++to 0.00689836
Heightened Def Con from 0.00689836 ++++++++++++++++++++++++to 0.00689836
Heightened Def Con from 0.00689836 ++++++++++++++++++++++++to 0.00689836
Heightened Def Con from 0.00689836 ++++++++++++++++++++++++to 0.00689836
Heightened Def Con from 0.00689837 ++++++++++++++++++++++++to 0.00689837
Heightened Def Con from 0.00689837 ++++++++++++++++++++++++to 0.00689837
Heightened Def Con from 0.00689837 ++++++++++++++++++++++++to 0.00689837
Heightened Def Con from 0.00689837 ++++++++++++++++++++++++to 0.00689837
Heightened Def Con from 0.00689837 ++++++++++++++++++++++++to 0.00689837
Heightened Def Con from 0.00689838 ++++++++++++++++++++++++to 0.00689838
Heightened Def Con from 0.00689838 ++++++++++++++++++++++++to 0.00689838
Heightened Def Con from 0.00689838 ++++++++++++++++++++++++to 0.00689838
Heightened Def Con from 0.00689838 ++++++++++++++++++++++++to 0.00689838
Heightened Def Con from 0.00689838 ++++++++++++++++++++++++to 0.00689838
Heightened Def Con from 0.00689838 ++++++++++++++++++++++++to 0.00689839
Heightened Def Con from 0.00689839 ++++++++++++++++++++++++to 0.00689839
Heightened Def Con from 0.00689839 ++++++++++++++++++++++++to 0.00689839
Heightened Def Con from 0.00689839 ++++++++++++++++++++++++to 0.00689839
Heightened Def Con from 0.00689839 ++++++++++++++++++++++++to 0.00689839
Heightened Def Con from 0.00689839 ++++++++++++++++++++++++to 0.0068984
Heightened Def Con from 0.0068984 ++++++++++++++++++++++++to 0.0068984
Heightened Def Con from 0.0068984 ++++++++++++++++++++++++to 0.0068984
Heightened Def Con from 0.0068984 ++++++++++++++++++++++++to 0.0068984
Heightened Def Con from 0.0068984 ++++++++++++++++++++++++to 0.0068984
Heightened Def Con from 0.0068984 ++++++++++++++++++++++++to 0.00689841
Heightened Def Con from 0.00689841 ++++++++++++++++++++++++to 0.00689841
Heightened Def Con from 0.00689841 ++++++++++++++++++++++++to 0.00689841
Heightened Def Con from 0.00689841 ++++++++++++++++++++++++to 0.00689841
Heightened Def Con from 0.00689841 ++++++++++++++++++++++++to 0.00689841
Heightened Def Con from 0.00689841 ++++++++++++++++++++++++to 0.00689841
Heightened Def Con from 0.00689842 ++++++++++++++++++++++++to 0.00689842
Heightened Def Con from 0.00689842 ++++++++++++++++++++++++to 0.00689842
Heightened Def Con from 0.00689842 ++++++++++++++++++++++++to 0.00689842
Heightened Def Con from 0.00689842 ++++++++++++++++++++++++to 0.00689842
Heightened Def Con from 0.00689842 ++++++++++++++++++++++++to 0.00689842
Heightened Def Con from 0.00689843 ++++++++++++++++++++++++to 0.00689843
Heightened Def Con from 0.00689843 ++++++++++++++++++++++++to 0.00689843
Heightened Def Con from 0.00689843 ++++++++++++++++++++++++to 0.00689843
Heightened Def Con from 0.00689843 ++++++++++++++++++++++++to 0.00689843
Heightened Def Con from 0.00689843 ++++++++++++++++++++++++to 0.00689843
Heightened Def Con from 0.00689843 ++++++++++++++++++++++++to 0.00689844
Heightened Def Con from 0.00689844 ++++++++++++++++++++++++to 0.00689844
Heightened Def Con from 0.00689844 ++++++++++++++++++++++++to 0.00689844
Heightened Def Con from 0.00689844 ++++++++++++++++++++++++to 0.00689844
Heightened Def Con from 0.00689844 ++++++++++++++++++++++++to 0.00689844
Heightened Def Con from 0.00689844 ++++++++++++++++++++++++to 0.00689845
Heightened Def Con from 0.00689845 ++++++++++++++++++++++++to 0.00689845
Heightened Def Con from 0.00689845 ++++++++++++++++++++++++to 0.00689845
Heightened Def Con from 0.00689845 ++++++++++++++++++++++++to 0.00689845
Heightened Def Con from 0.00689845 ++++++++++++++++++++++++to 0.00689845
Heightened Def Con from 0.00689845 ++++++++++++++++++++++++to 0.00689846
Heightened Def Con from 0.00689846 ++++++++++++++++++++++++to 0.00689846
Heightened Def Con from 0.00689846 ++++++++++++++++++++++++to 0.00689846
Heightened Def Con from 0.00689846 ++++++++++++++++++++++++to 0.00689846
Heightened Def Con from 0.00689846 ++++++++++++++++++++++++to 0.00689846
Heightened Def Con from 0.00689846 ++++++++++++++++++++++++to 0.00689846
Heightened Def Con from 0.00689847 ++++++++++++++++++++++++to 0.00689847
Heightened Def Con from 0.00689847 ++++++++++++++++++++++++to 0.00689847
Heightened Def Con from 0.00689847 ++++++++++++++++++++++++to 0.00689847
Heightened Def Con from 0.00689847 ++++++++++++++++++++++++to 0.00689847
Heightened Def Con from 0.00689847 ++++++++++++++++++++++++to 0.00689847
Heightened Def Con from 0.00689848 ++++++++++++++++++++++++to 0.00689848
Heightened Def Con from 0.00689848 ++++++++++++++++++++++++to 0.00689848
Heightened Def Con from 0.00689848 ++++++++++++++++++++++++to 0.00689848
Heightened Def Con from 0.00689848 ++++++++++++++++++++++++to 0.00689848
Heightened Def Con from 0.00689848 ++++++++++++++++++++++++to 0.00689848
Heightened Def Con from 0.00689848 ++++++++++++++++++++++++to 0.00689849
Heightened Def Con from 0.00689849 ++++++++++++++++++++++++to 0.00689849
Heightened Def Con from 0.00689849 ++++++++++++++++++++++++to 0.00689849
Heightened Def Con from 0.00689849 ++++++++++++++++++++++++to 0.00689849
Heightened Def Con from 0.00689849 ++++++++++++++++++++++++to 0.00689849
Heightened Def Con from 0.00689849 ++++++++++++++++++++++++to 0.0068985
Heightened Def Con from 0.0068985 ++++++++++++++++++++++++to 0.0068985
Heightened Def Con from 0.0068985 ++++++++++++++++++++++++to 0.0068985
Heightened Def Con from 0.0068985 ++++++++++++++++++++++++to 0.0068985
Heightened Def Con from 0.0068985 ++++++++++++++++++++++++to 0.0068985
Heightened Def Con from 0.0068985 ++++++++++++++++++++++++to 0.00689851
Heightened Def Con from 0.00689851 ++++++++++++++++++++++++to 0.00689851
Heightened Def Con from 0.00689851 ++++++++++++++++++++++++to 0.00689851
Heightened Def Con from 0.00689851 ++++++++++++++++++++++++to 0.00689851
Heightened Def Con from 0.00689851 ++++++++++++++++++++++++to 0.00689851
Heightened Def Con from 0.00689851 ++++++++++++++++++++++++to 0.00689851
Heightened Def Con from 0.00689852 ++++++++++++++++++++++++to 0.00689852
Heightened Def Con from 0.00689852 ++++++++++++++++++++++++to 0.00689852
Heightened Def Con from 0.00689852 ++++++++++++++++++++++++to 0.00689852
Heightened Def Con from 0.00689852 ++++++++++++++++++++++++to 0.00689852
Heightened Def Con from 0.00689852 ++++++++++++++++++++++++to 0.00689852
Heightened Def Con from 0.00689853 ++++++++++++++++++++++++to 0.00689853
Heightened Def Con from 0.00689853 ++++++++++++++++++++++++to 0.00689853
Heightened Def Con from 0.00689853 ++++++++++++++++++++++++to 0.00689853
Heightened Def Con from 0.00689853 ++++++++++++++++++++++++to 0.00689853
Heightened Def Con from 0.00689853 ++++++++++++++++++++++++to 0.00689853
Heightened Def Con from 0.00689853 ++++++++++++++++++++++++to 0.00689854
Heightened Def Con from 0.00689854 ++++++++++++++++++++++++to 0.00689854
Heightened Def Con from 0.00689854 ++++++++++++++++++++++++to 0.00689854
Heightened Def Con from 0.00689854 ++++++++++++++++++++++++to 0.00689854
Heightened Def Con from 0.00689854 ++++++++++++++++++++++++to 0.00689854
Heightened Def Con from 0.00689854 ++++++++++++++++++++++++to 0.00689855
Heightened Def Con from 0.00689855 ++++++++++++++++++++++++to 0.00689855
Heightened Def Con from 0.00689855 ++++++++++++++++++++++++to 0.00689855
Heightened Def Con from 0.00689855 ++++++++++++++++++++++++to 0.00689855
Heightened Def Con from 0.00689855 ++++++++++++++++++++++++to 0.00689855
Heightened Def Con from 0.00689855 ++++++++++++++++++++++++to 0.00689856
Heightened Def Con from 0.00689856 ++++++++++++++++++++++++to 0.00689856
Heightened Def Con from 0.00689856 ++++++++++++++++++++++++to 0.00689856
Heightened Def Con from 0.00689856 ++++++++++++++++++++++++to 0.00689856
Heightened Def Con from 0.00689856 ++++++++++++++++++++++++to 0.00689856
Heightened Def Con from 0.00689856 ++++++++++++++++++++++++to 0.00689856
Heightened Def Con from 0.00689857 ++++++++++++++++++++++++to 0.00689857
Heightened Def Con from 0.00689857 ++++++++++++++++++++++++to 0.00689857
Heightened Def Con from 0.00689857 ++++++++++++++++++++++++to 0.00689857
Heightened Def Con from 0.00689857 ++++++++++++++++++++++++to 0.00689857
Heightened Def Con from 0.00689857 ++++++++++++++++++++++++to 0.00689857
Heightened Def Con from 0.00689858 ++++++++++++++++++++++++to 0.00689858
Heightened Def Con from 0.00689858 ++++++++++++++++++++++++to 0.00689858
Heightened Def Con from 0.00689858 ++++++++++++++++++++++++to 0.00689858
Heightened Def Con from 0.00689858 ++++++++++++++++++++++++to 0.00689858
Heightened Def Con from 0.00689858 ++++++++++++++++++++++++to 0.00689858
Heightened Def Con from 0.00689858 ++++++++++++++++++++++++to 0.00689859
Heightened Def Con from 0.00689859 ++++++++++++++++++++++++to 0.00689859
Heightened Def Con from 0.00689859 ++++++++++++++++++++++++to 0.00689859
Heightened Def Con from 0.00689859 ++++++++++++++++++++++++to 0.00689859
Heightened Def Con from 0.00689859 ++++++++++++++++++++++++to 0.00689859
Heightened Def Con from 0.00689859 ++++++++++++++++++++++++to 0.0068986
Heightened Def Con from 0.0068986 ++++++++++++++++++++++++to 0.0068986
Heightened Def Con from 0.0068986 ++++++++++++++++++++++++to 0.0068986
Heightened Def Con from 0.0068986 ++++++++++++++++++++++++to 0.0068986
Heightened Def Con from 0.0068986 ++++++++++++++++++++++++to 0.0068986
Heightened Def Con from 0.0068986 ++++++++++++++++++++++++to 0.00689861
Heightened Def Con from 0.00689861 ++++++++++++++++++++++++to 0.00689861
Heightened Def Con from 0.00689861 ++++++++++++++++++++++++to 0.00689861
Heightened Def Con from 0.00689861 ++++++++++++++++++++++++to 0.00689861
Heightened Def Con from 0.00689861 ++++++++++++++++++++++++to 0.00689861
Heightened Def Con from 0.00689861 ++++++++++++++++++++++++to 0.00689861
Heightened Def Con from 0.00689862 ++++++++++++++++++++++++to 0.00689862
Heightened Def Con from 0.00689862 ++++++++++++++++++++++++to 0.00689862
Heightened Def Con from 0.00689862 ++++++++++++++++++++++++to 0.00689862
Heightened Def Con from 0.00689862 ++++++++++++++++++++++++to 0.00689862
Heightened Def Con from 0.00689862 ++++++++++++++++++++++++to 0.00689862
Heightened Def Con from 0.00689863 ++++++++++++++++++++++++to 0.00689863
Heightened Def Con from 0.00689863 ++++++++++++++++++++++++to 0.00689863
Heightened Def Con from 0.00689863 ++++++++++++++++++++++++to 0.00689863
Heightened Def Con from 0.00689863 ++++++++++++++++++++++++to 0.00689863
Heightened Def Con from 0.00689863 ++++++++++++++++++++++++to 0.00689863
Heightened Def Con from 0.00689864 ++++++++++++++++++++++++to 0.00689864
Heightened Def Con from 0.00689864 ++++++++++++++++++++++++to 0.00689864
Heightened Def Con from 0.00689864 ++++++++++++++++++++++++to 0.00689864
Heightened Def Con from 0.00689864 ++++++++++++++++++++++++to 0.00689864
Heightened Def Con from 0.00689864 ++++++++++++++++++++++++to 0.00689864
Heightened Def Con from 0.00689864 ++++++++++++++++++++++++to 0.00689865
Heightened Def Con from 0.00689865 ++++++++++++++++++++++++to 0.00689865
Heightened Def Con from 0.00689865 ++++++++++++++++++++++++to 0.00689865
Heightened Def Con from 0.00689865 ++++++++++++++++++++++++to 0.00689865
Heightened Def Con from 0.00689865 ++++++++++++++++++++++++to 0.00689865
Heightened Def Con from 0.00689865 ++++++++++++++++++++++++to 0.00689866
Heightened Def Con from 0.00689866 ++++++++++++++++++++++++to 0.00689866
Heightened Def Con from 0.00689866 ++++++++++++++++++++++++to 0.00689866
Heightened Def Con from 0.00689866 ++++++++++++++++++++++++to 0.00689866
Heightened Def Con from 0.00689866 ++++++++++++++++++++++++to 0.00689866
Heightened Def Con from 0.00689866 ++++++++++++++++++++++++to 0.00689866
Heightened Def Con from 0.00689867 ++++++++++++++++++++++++to 0.00689867
Heightened Def Con from 0.00689867 ++++++++++++++++++++++++to 0.00689867
Heightened Def Con from 0.00689867 ++++++++++++++++++++++++to 0.00689867
Heightened Def Con from 0.00689867 ++++++++++++++++++++++++to 0.00689867
Heightened Def Con from 0.00689867 ++++++++++++++++++++++++to 0.00689867
Heightened Def Con from 0.00689868 ++++++++++++++++++++++++to 0.00689868
Heightened Def Con from 0.00689868 ++++++++++++++++++++++++to 0.00689868
Heightened Def Con from 0.00689868 ++++++++++++++++++++++++to 0.00689868
Heightened Def Con from 0.00689868 ++++++++++++++++++++++++to 0.00689868
Heightened Def Con from 0.00689868 ++++++++++++++++++++++++to 0.00689868
Heightened Def Con from 0.00689869 ++++++++++++++++++++++++to 0.00689869
Heightened Def Con from 0.00689869 ++++++++++++++++++++++++to 0.00689869
Heightened Def Con from 0.00689869 ++++++++++++++++++++++++to 0.00689869
Heightened Def Con from 0.00689869 ++++++++++++++++++++++++to 0.00689869
Heightened Def Con from 0.00689869 ++++++++++++++++++++++++to 0.00689869
Heightened Def Con from 0.00689869 ++++++++++++++++++++++++to 0.0068987
Heightened Def Con from 0.0068987 ++++++++++++++++++++++++to 0.0068987
Heightened Def Con from 0.0068987 ++++++++++++++++++++++++to 0.0068987
Heightened Def Con from 0.0068987 ++++++++++++++++++++++++to 0.0068987
Heightened Def Con from 0.0068987 ++++++++++++++++++++++++to 0.0068987
Heightened Def Con from 0.0068987 ++++++++++++++++++++++++to 0.00689871
Heightened Def Con from 0.00689871 ++++++++++++++++++++++++to 0.00689871
Heightened Def Con from 0.00689871 ++++++++++++++++++++++++to 0.00689871
Heightened Def Con from 0.00689871 ++++++++++++++++++++++++to 0.00689871
Heightened Def Con from 0.00689871 ++++++++++++++++++++++++to 0.00689871
Heightened Def Con from 0.00689871 ++++++++++++++++++++++++to 0.00689871
Heightened Def Con from 0.00689872 ++++++++++++++++++++++++to 0.00689872
Heightened Def Con from 0.00689872 ++++++++++++++++++++++++to 0.00689872
Heightened Def Con from 0.00689872 ++++++++++++++++++++++++to 0.00689872
Heightened Def Con from 0.00689872 ++++++++++++++++++++++++to 0.00689872
Heightened Def Con from 0.00689872 ++++++++++++++++++++++++to 0.00689872
Heightened Def Con from 0.00689873 ++++++++++++++++++++++++to 0.00689873
Heightened Def Con from 0.00689873 ++++++++++++++++++++++++to 0.00689873
Heightened Def Con from 0.00689873 ++++++++++++++++++++++++to 0.00689873
Heightened Def Con from 0.00689873 ++++++++++++++++++++++++to 0.00689873
Heightened Def Con from 0.00689873 ++++++++++++++++++++++++to 0.00689873
Heightened Def Con from 0.00689874 ++++++++++++++++++++++++to 0.00689874
Heightened Def Con from 0.00689874 ++++++++++++++++++++++++to 0.00689874
Heightened Def Con from 0.00689874 ++++++++++++++++++++++++to 0.00689874
Heightened Def Con from 0.00689874 ++++++++++++++++++++++++to 0.00689874
Heightened Def Con from 0.00689874 ++++++++++++++++++++++++to 0.00689874
Heightened Def Con from 0.00689874 ++++++++++++++++++++++++to 0.00689875
Heightened Def Con from 0.00689875 ++++++++++++++++++++++++to 0.00689875
Heightened Def Con from 0.00689875 ++++++++++++++++++++++++to 0.00689875
Heightened Def Con from 0.00689875 ++++++++++++++++++++++++to 0.00689875
Heightened Def Con from 0.00689875 ++++++++++++++++++++++++to 0.00689875
Heightened Def Con from 0.00689875 ++++++++++++++++++++++++to 0.00689876
Heightened Def Con from 0.00689876 ++++++++++++++++++++++++to 0.00689876
Heightened Def Con from 0.00689876 ++++++++++++++++++++++++to 0.00689876
Heightened Def Con from 0.00689876 ++++++++++++++++++++++++to 0.00689876
Heightened Def Con from 0.00689876 ++++++++++++++++++++++++to 0.00689876
Heightened Def Con from 0.00689876 ++++++++++++++++++++++++to 0.00689876
Heightened Def Con from 0.00689877 ++++++++++++++++++++++++to 0.00689877
Heightened Def Con from 0.00689877 ++++++++++++++++++++++++to 0.00689877
Heightened Def Con from 0.00689877 ++++++++++++++++++++++++to 0.00689877
Heightened Def Con from 0.00689877 ++++++++++++++++++++++++to 0.00689877
